PoleSlot,Magnet,SlotType,MagThk,Embrace,AirgapFlux,Cogging,Efficiency,Torque
5,1,3,4.22623565589217,0.821824411643992,0.725355866090235,7.17037775402643,85.0796674837106,5.92290677326126
5,1,3,6.84519371211063,0.824404765440251,0.46225890059811,3.49424663719164,88.7668776997881,3.4398230766314
5,1,3,7.07963758073736,0.766922486756613,0.417602885380548,2.7620187709944,89.0371605475649,2.9723748417327
5,2,3,5.87172091520738,0.825504890747653,0.168282632685893,0.389020238743166,95.0107665791307,1.19229811391341
5,3,1,6.04991896401236,0.655355577281802,0.458865304175322,3.89797400522872,87.2624708188169,3.63394134666136
5,3,1,6.65287492859069,0.75083392249553,0.397793830636518,3.25717138626311,88.5808836406485,3.20253093896814
3,2,3,8.79950312913759,0.520042039107182,0.0736843416416704,0,98.8318152361144,0.0400037085770411
4,3,2,8.25826072465888,0.847909289634087,0.437203990943163,0.412731710786807,79.9714767275886,1.76971933938425
5,1,2,5.5694872752253,0.721712266391552,0.588607471863103,5.27862245501286,85.6249582130561,4.89592512031474
5,2,1,5.5170261410597,0.823156375600843,0.142086193688105,0.239561939632397,95.2561957265335,1.11051002199703
4,3,3,8.44280094912586,0.815990080413063,0.393012579454751,0.24289366971553,81.6720883198065,1.51614825752732
5,1,1,5.90639456923997,0.818551695311135,0.530924445732312,4.96930934731133,87.692509796366,4.45648199189622
3,1,2,4.34392328270186,0.803595846965228,0.159474001424525,0.141996304341555,96.2660672380971,0.545272663224186
5,1,1,4.92095576357808,0.749945250877596,0.617319819408311,6.13769106167618,85.4205849014919,5.18024802713833
2,2,2,7.84475713006951,0.661629736326648,0.147036668684896,0,93.66540698198,0.172007117669392
5,1,1,6.20149844618191,0.770459305574304,0.497773818454938,4.49317888230668,87.8761856981102,4.07726664272451
5,1,2,4.26729740858038,0.789189335833474,0.726551692032589,7.1516920129491,83.9728944410582,6.03006091388916
5,1,2,4.86487762622495,0.749644433766771,0.674568484141837,6.41555833180423,84.6745853628496,5.60829589986238
5,1,2,4.93541646336952,0.683855362807482,0.655894469722213,6.21075222612996,84.7555135047618,5.46154010359823
5,1,2,6.28768457327692,0.723806642123934,0.486413993398791,3.94205539212424,86.836557781905,4.02999569935244
5,1,3,6.49846499101954,0.741780715556522,0.48621628598764,3.64666795757526,87.8950162019719,3.57579860089321
5,1,2,6.20303086935817,0.664660323470188,0.500636348741127,4.13327627837479,86.4399898515359,4.13270521420356
5,1,2,6.59194363942579,0.764799368910716,0.450406951633424,3.56601924034619,87.581490708906,3.7222918448627
5,1,1,6.05623046694644,0.790873606368681,0.515041962106439,4.74496355468843,87.7570344496542,4.26961600308036
4,3,1,7.40076466053368,0.722036352839787,0.500771055881029,1.03120916879233,77.9620129396199,2.35174648942411
5,1,2,3.93364463236261,0.832468064111488,0.746728484535799,7.51087826644263,83.701343795988,6.19378506400892
5,1,3,7.82416808825529,0.820111955498673,0.3465672218852,1.97419323590438,90.4548308388639,2.41088943461587
4,1,1,8.21274642641209,0.638151015878848,0.489979775976461,0,81.0638006060111,1.73929855363579
3,2,3,6.05478056642728,0.717178305239382,0.112477906972112,0,98.0209626513113,0.280918411460531
4,1,3,8.32024185850273,0.655912481997288,0.473502750048396,1.07337664649105,80.6849934319318,2.1383677438277
4,1,1,4.52968627607071,0.794128133342453,0.806353258634828,2.86365397946258,70.2027565333324,3.97978331822042
5,1,3,5.34991243121432,0.793505032750799,0.641454650147163,5.91323007830505,86.0117227382763,5.08674712040162
5,3,3,5.4560174171265,0.802577043668206,0.537536508331705,4.60838565454158,86.6114803675526,4.301691470492
5,1,2,4.14674378578655,0.799442164195154,0.734552764719425,7.27674704803753,83.8606466591389,6.09473540335723
5,1,2,6.11791758036141,0.781351264666872,0.526730420074431,4.56494614588461,86.6331536580007,4.35792993892369
4,1,1,4.18159208986437,0.781989277817652,0.81503421500592,2.98615829406857,70.084291002792,4.09063512136888
5,1,3,3.97552984472276,0.799038205410495,0.732660141265484,7.22973288793775,84.8603238296804,5.97075709331529
4,1,3,4.79946969323883,0.869122372480194,0.811290582805593,1.26049308232331,68.9835425373322,3.57232022443733
4,1,2,6.16273170672176,0.633582405252382,0.635568645423929,2.0552229191901,74.5511837492698,3.06242458130456
5,1,2,3.74659853267701,0.779290751316981,0.751629911041711,7.45281170554598,83.6727579757381,6.23434862835099
5,3,2,6.73894661988973,0.748014346155094,0.459748846125035,3.38733972356816,87.2092900701464,3.55643330053506
5,1,2,6.16886013287438,0.752092835572012,0.512390720154237,4.31181658185068,86.6904669307536,4.24496305764308
5,1,2,5.33466576977221,0.752730410180191,0.626324971097482,5.785573598313,85.2673765197987,5.20408166334591
5,1,2,7.15622093843884,0.718408809626534,0.357572509485125,2.29551525112741,88.5195831383151,2.91819892236868
4,1,1,5.46990292738609,0.787559352336785,0.751036874114753,2.18278042037609,71.575923077037,3.46581831730698
5,1,1,4.83249185383722,0.808842038724491,0.628659998464735,6.3326617059743,85.6827569818956,5.35827156109584
1,1,2,6.00135521650413,0.640015463190355,0.265340664963563,0.371761073132059,92.3096927962156,0.898627058541823
4,2,2,4.55078125,0.6012109375,0.124881898246094,0.0406400674968348,92.1086671528132,0.86565645556403
5,1,2,3.20446274129358,0.878314676189577,0.771998088997886,7.92422110734515,83.4695302988208,6.40199215132376
5,1,2,3.20685573100886,0.840349889412094,0.773233362300119,7.8562037900662,83.4162915775366,6.40906769484364
5,1,3,3.2320120528537,0.873822428445045,0.755184037096253,7.68954130065774,84.9802355884614,6.25436944317669
