PoleSlot,Magnet,SlotType,MagThk,Embrace,AirgapFlux,Cogging,Efficiency,Torque,Skor
5,3,2,6.80264317721877,0.761222896504862,0.436695342021633,3.89287220502789,87.5535472993726,3.7568424838664,0.628417928945817
5,3,2,7.99632683975936,0.784393511402733,0.31603951971707,1.36637888030622,90.5250499367395,2.38454105175229,0.625891678369382
5,3,1,7.23256883724115,0.538145981520345,0.408593122710222,3.49574913510829,89.1197302689829,3.32887307873558,0.619327831177358
5,3,2,8.34836068802682,0.756109961760437,0.27389478292321,0.778229975409711,91.0748485934621,1.98210652305056,0.61525781974864
5,3,2,8.32754231226934,0.77344782152704,0.280640808767237,0.960413161962125,91.1137553169697,2.03796067541704,0.614697976913639
1,1,1,3.68640999048229,0.681980160923157,0.387737284602321,0.734278587278332,91.4306354312375,1.62766970587308,0.612531852901434
5,3,1,4.3868513217172,0.615598688127251,0.794333239480309,6.43000839392396,84.4584654080291,5.14891995752366,0.61070695089043
5,3,1,7.80418508194106,0.811925219686094,0.354800998869599,2.70150173328802,90.2329936235684,2.73957372130701,0.61032495220388
5,3,3,8.40550764237161,0.741236026566717,0.270317152203054,1.06692725295707,91.5684274851972,2.00823218244673,0.609957030179491
5,1,3,8.37172354838794,0.767039235389278,0.244488214124834,0.879950014225964,91.7853863524112,1.95812869483743,0.608933805953642
5,1,3,8.56417467155712,0.736020683300028,0.224789947178364,0.406946704034593,92.048984363669,1.74667430391919,0.607335200520981
5,3,3,5.34549919215654,0.773111803958591,0.536771586716718,5.72759144612126,86.3763717906798,4.8084216744608,0.6051362327479
1,3,1,4.30285787466398,0.690508565689904,0.333027125118358,0.671697523170515,91.8228383988209,1.41946187880633,0.5991230332316
5,1,2,5.92318859616127,0.803238816121589,0.543131210178,5.82193328104478,86.1978256706012,4.65255748708976,0.594438950593394
5,3,2,5.30552861128478,0.770552038161549,0.539735228424548,6.04859872727623,85.6612249918981,4.83595298050415,0.590230951182772
1,3,2,6.4151334902346,0.843897078872629,0.214986672982262,0.303984593236281,93.7139590931221,1.04870565951644,0.581046596802149
1,1,2,6.61940357524673,0.796980397095028,0.235757241038531,0.342340625424386,93.6005944646742,0.942263027077853,0.578088229630864
1,3,2,6.32749116909473,0.68964369325746,0.22459325735593,0.345096528186801,92.9871270655702,0.960018799571434,0.577490655185039
3,3,2,3.63832184530667,0.764359696179214,0.193262221135425,0.518587202598389,96.6721460302289,0.714007154582196,0.563704520867576
5,3,1,5.8441465385229,0.554219596728193,0.618186158503006,6.5951316787715,86.87282455006,4.17908004202128,0.543685838189424
5,3,3,5.44915589392019,0.586159792610517,0.652696145027105,6.94628520048016,86.167213465554,4.42155348121661,0.541468539780935
5,3,1,4.2025466942984,0.585897302566258,0.846140030144461,8.28088217478926,84.2451066883042,5.21056345763614,0.532486089140081
5,3,2,5.56277542825776,0.563837327159239,0.655380422348008,7.15280200946728,85.6475138426463,4.40924509258103,0.53072861593566
