PS_10_12,PS_16_24,PS_20_24,PS_4_12,PS_8_12,Mag_Alnico9,Mag_NdFe35,Mag_SmCo28,ST_1,ST_2,ST_3,MagThk_mm,Embrace,AirgapFlux,Cogging,Efficiency,Torque
1,0,0,0,0,0,0,1,0,1,0,4.39,0.874,0.415311,0.382804,80.4197,1.05746
0,0,1,0,0,0,0,1,0,0,1,6.66,0.529,0.64309,1.35313,80.091,2.51074
1,0,0,0,0,0,1,0,0,0,1,5.88,0.881,0.327238,0.24443,83.5627,0.82999
0,0,0,0,1,1,0,0,0,0,1,4.59,0.784,0.127289,0.102908,96.177,0.599708
0,0,0,0,1,0,0,1,0,1,0,8.31,0.853,0.101437,0.0644033,96.0781,0.456815
0,0,1,0,0,1,0,0,1,0,0,6.19,0.672,0.130091,0.0103401,91.3563,0.671963
0,1,0,0,0,0,1,0,0,0,1,5.31,0.578,0.671593,7.86897,85.4845,4.72944
0,0,1,0,0,0,1,0,1,0,0,4.2,0.5,0.964699,0.00153934,76.6005,3.65393
0,1,0,0,0,0,1,0,0,1,0,4.78,0.611,0.694732,7.08007,83.861,5.05876
1,0,0,0,0,0,1,0,0,1,0,6.41,0.83,0.297447,0.0230372,84.0356,0.746068
0,0,1,0,0,1,0,0,0,0,1,6.28,0.877,0.130119,0.0819673,89.0961,0.744985
0,0,0,0,1,0,0,1,0,0,1,4.58,0.559,0.389516,0.961279,92.1335,1.34881
1,0,0,0,0,0,0,1,0,1,0,6.77,0.56,0.322942,0.244192,88.7034,0.652803
1,0,0,0,0,1,0,0,0,1,0,5.97,0.866,0.13135,0.0338896,91.0639,0.369216
1,0,0,0,0,0,0,1,0,0,1,5.27,0.769,0.374841,0.342257,83.733,0.907257
0,1,0,0,0,0,0,1,1,0,0,5.04,0.648,0.626117,2.53102,85.0716,4.73329
1,0,0,0,0,0,0,1,0,1,0,4.83,0.621,0.434402,0.432475,85.0145,0.932911
0,0,1,0,0,0,0,1,0,1,0,5.3,0.587,0.767577,3.52996,74.9136,3.20097
0,0,1,0,0,1,0,0,1,0,0,7.91,0.549,0.133426,0.0822516,92.7984,0.613309
0,0,1,0,0,0,1,0,0,1,0,8.48,0.728,0.302255,0.457051,81.3561,1.40561
0,0,0,0,1,1,0,0,1,0,0,6.9,0.893,0.114847,0.0836457,96.5497,0.573439
0,0,0,1,0,0,1,0,0,0,1,4.16,0.878,0.165282,0.17434,96.7899,0.764311
1,0,0,0,0,0,1,0,0,0,1,7.45,0.609,0.263887,0.159973,89.4279,0.557304
0,1,0,0,0,1,0,0,0,0,1,6.31,0.672,0.130153,0.0320084,94.602,1.12088
1,0,0,0,0,1,0,0,0,1,0,8.32,0.766,0.0814814,0.0153196,93.8301,0.214376
0,0,1,0,0,0,0,1,0,0,1,6.4,0.813,0.585437,0.766664,72.6382,2.90352
0,0,0,1,0,0,1,0,0,1,0,6.94,0.611,0.110039,0.0752646,97.1894,0.401522
0,0,1,0,0,1,0,0,1,0,0,8.38,0.667,0.132453,0.000466499,91.1512,0.665063
0,0,0,0,1,1,0,0,0,1,0,6.43,0.84,0.124811,0.098229,96.1555,0.601349
1,0,0,0,0,0,1,0,1,0,0,6.44,0.549,0.366157,0.302356,88.5901,0.73157
0,0,0,1,0,1,0,0,0,1,0,5.33,0.724,0.0983567,0.0609502,97.8405,0.451659
0,0,0,1,0,0,0,1,1,0,0,5.48,0.836,0.132921,0.111851,97.1325,0.592741
1,0,0,0,0,0,1,0,1,0,0,8.29,0.759,0.149477,0.051987,90.5846,0.356893
1,0,0,0,0,0,0,1,0,0,1,5.58,0.649,0.3773,0.184905,86.1545,0.828967
1,0,0,0,0,1,0,0,0,0,1,7.82,0.563,0.125509,0.0362127,94.5398,0.283451
0,0,0,0,1,0,1,0,0,0,1,4.26,0.748,0.348863,0.760346,91.9478,1.43916
1,0,0,0,0,0,1,0,0,1,0,5.8,0.69,0.371119,0.21897,84.6574,0.841598
1,0,0,0,0,0,0,1,0,1,0,4.11,0.601,0.491992,0.610071,84.4995,1.04121
0,0,0,1,0,0,1,0,0,0,1,4.57,0.795,0.156101,0.155204,96.8473,0.673534
0,1,0,0,0,0,0,1,0,1,0,4.09,0.833,0.623093,7.69857,85.6769,5.55404
0,0,1,0,0,0,0,1,0,0,1,5.26,0.59,0.769621,3.54104,75.9253,3.22008
0,1,0,0,0,1,0,0,0,0,1,8.43,0.663,0.121096,0.0156019,94.7962,1.01848
0,1,0,0,0,1,0,0,1,0,0,7.67,0.689,0.132543,0.123531,94.5837,1.14696
1,0,0,0,0,0,0,1,0,0,1,4.22,0.784,0.419902,0.418566,82.3805,1.03063
0,0,0,0,1,0,0,1,0,0,1,8.43,0.854,0.0933533,0.0545304,96.2862,0.421185
0,0,0,0,1,0,0,1,0,0,1,7.81,0.573,0.180297,0.198987,94.6414,0.631457
1,0,0,0,0,0,0,1,1,0,0,5.9,0.863,0.325607,0.198028,83.6659,0.825477
0,0,1,0,0,1,0,0,1,0,0,8.36,0.623,0.133439,0.0755006,91.7371,0.648518
0,0,0,0,1,0,0,1,1,0,0,6.35,0.684,0.255651,0.210833,93.1491,0.991509
0,0,1,0,0,1,0,0,0,0,1,5.35,0.759,0.127667,0.0950195,90.3154,0.707542
0,1,0,0,0,0,1,0,0,0,1,5.8,0.669,0.585584,0.295893,85.4217,4.49257
0,0,1,0,0,1,0,0,1,0,0,6.3,0.539,0.130412,0.0712193,93.1562,0.607078
0,0,1,0,0,1,0,0,0,1,0,6.97,0.83,0.131637,0.00373086,88.7041,0.742235
0,0,0,1,0,0,0,1,0,1,0,8.02,0.647,0.0682978,0.0234475,98.0324,0.264044
1,0,0,0,0,0,0,1,0,1,0,6.31,0.802,0.307953,0.179536,84.1601,0.761153
1,0,0,0,0,0,0,1,0,1,0,8.12,0.721,0.165227,0.0607548,90.0654,0.383611
0,0,1,0,0,0,0,1,0,0,1,8.39,0.665,0.315677,0.0249812,83.2825,1.39884
0,0,0,1,0,1,0,0,1,0,0,4.18,0.693,0.11398,0.0754894,97.7263,0.52643
1,0,0,0,0,0,0,1,1,0,0,7.28,0.796,0.227294,0.103487,87.3995,0.558805
0,0,0,1,0,0,1,0,1,0,0,8.21,0.618,0.0644575,0.0254122,97.898,0.237071
0,0,1,0,0,1,0,0,0,1,0,5.64,0.553,0.128696,0.0858044,92.7719,0.615333
0,0,1,0,0,1,0,0,0,1,0,8.2,0.858,0.131485,0.0503179,88.4507,0.737952
0,0,0,0,1,1,0,0,0,0,1,5.44,0.772,0.129411,0.105242,96.072,0.596465
1,0,0,0,0,0,1,0,1,0,0,8.24,0.717,0.159747,0.0555589,90.6877,0.369403
1,0,0,0,0,1,0,0,0,0,1,7.57,0.607,0.128899,0.0382789,93.9712,0.302381
0,0,1,0,0,1,0,0,0,0,1,6.3,0.775,0.130263,0.0882503,89.8826,0.718364
0,1,0,0,0,0,1,0,0,1,0,7.69,0.814,0.322094,1.97659,89.9809,2.80849
0,0,1,0,0,1,0,0,1,0,0,7.03,0.513,0.131908,0.0268279,93.3705,0.591596
0,0,1,0,0,1,0,0,1,0,0,7.28,0.577,0.13246,0.0999706,92.4947,0.627972
0,0,1,0,0,0,1,0,1,0,0,6.59,0.533,0.687651,1.72521,79.2081,2.68993
1,0,0,0,0,1,0,0,0,1,0,8.33,0.89,0.0759704,0.0131633,93.445,0.20954
0,0,1,0,0,0,0,1,0,0,1,5.13,0.802,0.675544,1.61962,70.8862,3.34562
0,0,0,1,0,0,1,0,0,0,1,7.5,0.58,0.0944678,0.0557962,97.1216,0.334781
0,0,0,0,1,0,0,1,0,0,1,7.21,0.582,0.22182,0.300084,94.0063,0.784473
1,0,0,0,0,1,0,0,1,0,0,4.19,0.821,0.126787,0.0163159,92.0798,0.363561
1,0,0,0,0,0,1,0,0,0,1,4.29,0.681,0.454399,0.237439,83.8401,1.0268
0,0,0,1,0,0,1,0,0,1,0,5.21,0.636,0.156609,0.14534,96.7639,0.585966
0,0,0,1,0,0,0,1,1,0,0,6.34,0.703,0.116637,0.0819735,97.4044,0.462118
0,0,0,1,0,1,0,0,0,1,0,5.77,0.825,0.0849351,0.0455891,98.0098,0.418331
0,0,0,1,0,1,0,0,1,0,0,5.19,0.712,0.101309,0.0640045,97.8355,0.462267
0,0,0,1,0,1,0,0,1,0,0,6.83,0.682,0.0729965,0.0239467,98.1447,0.316424
0,1,0,0,0,1,0,0,0,0,1,7.57,0.753,0.132303,0.297623,94.7098,1.20577
0,0,0,0,1,1,0,0,0,0,1,4.37,0.758,0.126692,0.101124,96.1457,0.587286
1,0,0,0,0,0,1,0,0,0,1,6.72,0.528,0.352011,0.217795,89.3449,0.687893
0,0,0,1,0,0,0,1,0,0,1,7.63,0.827,0.0713291,0.0318328,97.7844,0.314972
0,0,1,0,0,0,0,1,0,1,0,8.46,0.83,0.268281,0.0136386,80.7987,1.33292
0,0,0,0,1,1,0,0,0,0,1,8.4,0.789,0.0606891,0.0227899,97.444,0.277672
0,1,0,0,0,0,1,0,1,0,0,6.65,0.823,0.451919,3.93974,88.479,3.97022
0,1,0,0,0,0,1,0,0,0,1,8.13,0.664,0.30073,0.0690871,90.1982,2.29076
