Nokta,Pole,Slot,SlotType,MagThk_mm,Embrace,Magnet,AirgapFlux_T,Cogging_Nm,Efficiency_%,Torque_Nm,Durum
298,8,12,2,4.03,0.762,Alnico9,0.125375,0.0996287,96.0909,0.587781,OK
299,8,12,2,5.38,0.771,NdFe35,0.303842,0.580258,92.3011,1.27512,OK
300,14,12,2,4.88,0.614,SmCo28,,,,,OKUMA_HATA
301,16,24,3,8.37,0.517,NdFe35,0.312192,1.80308,91.176,2.05047,OK
302,10,12,2,4.68,0.501,NdFe35,0.532424,0.0244058,86.492,1.0118,OK
303,14,12,3,6.25,0.806,Alnico9,,,,,OKUMA_HATA
304,16,24,1,5.46,0.686,Alnico9,0.127871,0.108327,94.7563,1.12679,OK
305,16,24,1,7.95,0.545,NdFe35,0.37427,2.53702,90.0014,2.53657,OK
306,20,24,3,5.89,0.616,NdFe35,0.720266,2.61245,75.6906,3.07066,OK
307,4,12,1,7.09,0.709,NdFe35,0.0981728,0.0587547,97.6226,0.389997,OK
308,8,12,2,7.47,0.607,Alnico9,0.117111,0.0794549,0.388993,15.3657,OK
309,8,12,2,4.27,0.613,NdFe35,0.388452,0.883766,91.2477,1.42009,OK
310,20,24,2,7.78,0.52,NdFe35,0.517703,0.602715,81.5866,1.98452,OK
311,14,12,2,8.45,0.69,NdFe35,,,,,OKUMA_HATA
312,16,24,2,5.7,0.768,NdFe35,0.573853,5.96418,85.5479,4.81648,OK
313,4,12,2,6.1,0.671,Alnico9,0.0895863,0.0139526,0.399952,5.35351,OK
314,16,24,3,5.99,0.838,NdFe35,0.528099,5.43749,87.4803,4.69913,OK
315,20,24,2,8.06,0.716,Alnico9,0.133353,0.0800065,89.9588,0.696512,OK
316,8,12,1,7.45,0.51,Alnico9,0.127366,0.101359,0.429707,15.5406,OK
317,16,24,2,6.44,0.582,SmCo28,0.532102,4.78985,86.6664,3.75904,OK
318,14,12,3,6.15,0.633,SmCo28,,,,,OKUMA_HATA
319,8,12,3,5.97,0.607,SmCo28,0.289183,0.490876,92.9497,1.04618,OK
320,16,24,2,6.67,0.695,SmCo28,0.476594,2.01888,86.4863,3.74663,OK
321,16,24,2,4.57,0.567,Alnico9,0.124807,0.283591,95.2863,1.00751,OK
322,8,12,1,4.39,0.626,NdFe35,0.376872,0.769893,91.6407,1.39451,OK
323,10,12,1,5.22,0.51,Alnico9,0.131087,0.013867,95.1497,0.293216,OK
324,14,12,3,5.2,0.861,NdFe35,,,,,OKUMA_HATA
325,10,12,1,4.3,0.863,Alnico9,0.127067,0.0313818,91.8379,0.36705,OK
326,16,24,2,6.53,0.535,SmCo28,0.545146,5.52319,87.5015,3.71381,OK
327,16,24,2,5.18,0.511,SmCo28,0.720138,9.95965,85.9854,4.7799,OK
328,20,24,2,7.31,0.533,Alnico9,0.132456,0.062345,92.7513,0.605523,OK
329,14,12,3,4.01,0.703,SmCo28,,,,,OKUMA_HATA
330,8,12,1,4.8,0.741,NdFe35,0.330004,0.66963,92.1668,1.35069,OK
331,4,12,1,7.92,0.747,Alnico9,0.0429575,0.0115018,0.42347,4.05028,OK
332,8,12,2,4.51,0.545,SmCo28,0.402309,1.02953,91.9127,1.37989,OK
333,8,12,2,8.25,0.801,NdFe35,0.11352,0.080066,95.625,0.488859,OK
334,10,12,1,7.42,0.557,SmCo28,0.272407,0.170108,90.2995,0.548564,OK
335,10,12,3,4.62,0.557,Alnico9,0.129184,0.0405976,94.7473,0.304894,OK
336,14,12,1,6.14,0.524,SmCo28,,,,,OKUMA_HATA
337,10,12,3,8.0,0.617,NdFe35,0.203742,0.090919,90.7882,0.433232,OK
338,14,12,1,4.9,0.74,Alnico9,,,,,OKUMA_HATA
339,4,12,3,7.39,0.612,NdFe35,0.0953733,0.0563112,97.3759,0.34841,OK
340,20,24,1,5.24,0.751,NdFe35,0.72149,3.07321,71.3045,3.44143,OK
341,4,12,1,7.15,0.527,SmCo28,0.109182,0.074765,96.8387,0.37032,OK
342,20,24,1,8.0,0.619,Alnico9,0.133514,0.081071,91.8158,0.649122,OK
343,16,24,2,5.55,0.883,Alnico9,0.127868,0.316998,95.1744,1.31071,OK
344,16,24,1,5.37,0.889,NdFe35,0.581352,6.53261,87.4019,5.38656,OK
345,8,12,3,7.44,0.573,Alnico9,0.121275,0.0902764,0.464574,14.6686,OK
346,14,12,1,4.03,0.715,NdFe35,,,,,OKUMA_HATA
347,20,24,1,6.78,0.733,SmCo28,0.558268,1.69915,75.2892,2.62023,OK
348,20,24,1,7.05,0.673,NdFe35,0.567877,0.224698,76.7524,2.53437,OK
349,20,24,2,5.06,0.892,Alnico9,0.126562,0.095227,88.9303,0.741983,OK
350,10,12,1,7.94,0.564,SmCo28,0.218627,0.110178,91.3804,0.442952,OK
351,16,24,1,7.09,0.51,Alnico9,0.131935,0.326593,95.674,0.971366,OK
352,8,12,2,6.87,0.58,SmCo28,0.243385,0.363025,93.5346,0.859049,OK
353,4,12,3,6.41,0.786,NdFe35,0.114184,0.0820813,97.2501,0.486718,OK
354,10,12,3,4.38,0.871,SmCo28,0.415474,0.373662,81.3064,1.05829,OK
355,14,12,1,7.65,0.849,Alnico9,,,,,OKUMA_HATA
356,4,12,2,4.73,0.536,Alnico9,0.121325,0.0936247,0.430224,5.78545,OK
357,16,24,2,6.59,0.652,NdFe35,0.520783,1.311,85.7756,3.92361,OK
358,8,12,2,7.36,0.759,SmCo28,0.180161,0.199203,94.3456,0.748007,OK
359,8,12,2,4.95,0.795,Alnico9,0.128208,0.104297,96.0527,0.606483,OK
360,10,12,3,4.76,0.847,SmCo28,0.397452,0.17187,81.9048,1.00833,OK
361,14,12,2,7.64,0.678,SmCo28,,,,,OKUMA_HATA
362,14,12,1,8.27,0.584,NdFe35,,,,,OKUMA_HATA
363,4,12,1,7.2,0.564,Alnico9,0.0741975,0.0345013,0.435825,4.51353,OK
364,10,12,2,4.23,0.512,SmCo28,0.550817,0.3004,86.013,1.06726,OK
365,8,12,2,4.48,0.77,NdFe35,0.339387,0.729646,91.8143,1.4256,OK
366,20,24,2,5.57,0.583,Alnico9,0.128475,0.0982884,92.361,0.629761,OK
367,16,24,2,6.95,0.514,NdFe35,0.537167,5.4139,87.8255,3.53242,OK
368,16,24,1,8.22,0.841,NdFe35,0.24899,1.1937,91.9487,2.22159,OK
369,14,12,1,7.32,0.885,SmCo28,,,,,OKUMA_HATA
370,16,24,2,6.79,0.551,Alnico9,0.131347,0.313535,95.1629,1.01221,OK
371,14,12,1,7.04,0.565,NdFe35,,,,,OKUMA_HATA
372,8,12,1,7.54,0.742,NdFe35,0.173415,0.180682,94.6193,0.70883,OK
373,10,12,3,5.87,0.737,Alnico9,0.1318,0.042351,92.5375,0.347034,OK
374,16,24,2,4.1,0.824,Alnico9,0.122365,0.295981,95.1871,1.23036,OK
375,16,24,1,6.2,0.849,NdFe35,0.498598,4.84493,88.0561,4.47366,OK
376,20,24,3,6.06,0.842,NdFe35,0.640114,0.529596,70.8747,3.21218,OK
377,16,24,2,4.24,0.776,SmCo28,0.625895,7.34815,84.9851,5.31654,OK
378,4,12,3,5.33,0.625,Alnico9,0.107312,0.0711786,0.488104,5.13749,OK
379,14,12,2,7.58,0.762,Alnico9,,,,,OKUMA_HATA
380,20,24,2,8.09,0.884,SmCo28,0.314339,0.497389,78.6319,1.58473,OK
381,4,12,2,8.28,0.753,SmCo28,0.0524483,0.0171269,98.1995,0.217238,OK
382,20,24,3,5.62,0.811,SmCo28,0.647023,1.06656,71.2887,3.21412,OK
383,10,12,1,6.26,0.656,NdFe35,0.349081,0.10019,86.5123,0.769175,OK
384,8,12,1,7.77,0.831,NdFe35,0.143736,0.129256,95.215,0.634798,OK
385,20,24,2,5.28,0.817,Alnico9,0.127385,0.030726,89.227,0.732271,OK
386,14,12,1,5.91,0.864,Alnico9,,,,,OKUMA_HATA
387,8,12,3,8.41,0.811,SmCo28,0.098206,0.059977,96.0958,0.427598,OK
388,14,12,1,4.88,0.73,Alnico9,,,,,OKUMA_HATA
